ID,ジャンル,問題,正解,選択肢2,選択肢3,選択肢4,選択肢5,解説,ヒント
R6-07,基準点測量,"次の1~5の文は、公共測量におけるトータルステーション(以下「TS」という。)を用いた基準点測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 新点の位置精度は、既知点及び新点の配置によって影響を受けるため、作業規程において標準となる路線の辺数,路線長,路線図形等が定められている。◆2. 距離測定は,1視準1読定を1セットとし、2セット行う。◆3. 距離測定の気象補正に使用する気温及び気圧の測定は,TS を整置した観測点で、距離測定の開始直前又は終了直後に行う。◆4. TSで測定される斜距離には、反射鏡定数の誤差などの測定距離に比例しない誤差が含まれる。◆5. 水平角観測においては,対回内の観測方向数は5方向以下とする。","2. 距離測定は,1視準1読定を1セットとし、2セット行う。","1. 新点の位置精度は...作業規程において標準となる路線の辺数,路線長,路線図形等が定められている。",3. 距離測定の気象補正に使用する気温及び気圧の測定は...距離測定の開始直前又は終了直後に行う。,4. TSで測定される斜距離には...測定距離に比例しない誤差が含まれる。,"5. 水平角観測においては,対回内の観測方向数は5方向以下とする。",1級・2級基準点測量における距離測定は、より高精度な観測が求められるため、「1視準2読定」などをセット数行う規定が一般的です。「1視準1読定」は簡易な方法であり、上位等級の基準点測量には適しません。,基準点測量は精密。1回読んで終わり（1読定）ではない。
R6-08,基準点測量,"公共測量において、トータルステーションを用いた結合多角方式により 1級基準点測量を行った。図8は、平均図に点検路線を加筆したものである。①~⑧は、観測終了後に行う水平位置及び標高の閉合差による点検計算のための点検路線を路線番号で示したものである。点検路線の組合せとして最も適当なものはどれか。次の1~5の中から選べ。ただし、点間距離は全て同じであるものとする。◆1. ①, ②, ④, ⑥, ⑦◆2. ①, ③, ④, ⑦◆3. ①, ③, ④, ⑦, ⑧◆4. ①, ④, ⑦, ⑧◆5. ②, ④, ⑤, ⑦, ⑧","5. ②, ④, ⑤, ⑦, ⑧","1. ①, ②, ④, ⑥, ⑦","2. ①, ③, ④, ⑦","3. ①, ③, ④, ⑦, ⑧","4. ①, ④, ⑦, ⑧",点検路線は、測量網の整合性を確認するため、「既知点と既知点を結ぶ路線」または「既知点から出て同じ既知点に戻る（閉合）路線」を選択するのが原則です。図中の路線の中で、両端が既知点（三角マーク）に接続しているものを選びます。,点検路線＝「答え（既知点）」と「答え（既知点）」をつなぐ線。
R6-09,基準点測量,"次の1~5の文は、公共測量における GNSS 測量機を用いた1~4級基準点測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 1級基準点測量,2級基準点測量及び3級基準点測量においては、既知点を電子基準点のみとすることができる。◆2. スタティック法による観測距離 10km以上の観測でGPS・準天頂衛星及び GLONASS 衛星を用いる場合は、使用衛星数を6衛星以上とする。◆3. ネットワーク型 RTK 法では、位置情報サービス事業者で算出された補正データ等又は面補正パラメータを、携帯電話等の通信回線を介して移動局で受信すると同時に、移動局で GNSS 衛星からの信号を受信し、移動局側において即時に解析処理を行って位置を求める。この解析処理は,観測終了後に後処理により行ってもよい。◆4. スタティック法及び短縮スタティック法におけるアンテナ高の測定は、標識上面から GNSSアンテナの位相中心までとする。◆5. スタティック法及び短縮スタティック法による基線解析では、原則として PCV 補正を行う。",4. スタティック法及び短縮スタティック法におけるアンテナ高の測定は、標識上面から GNSSアンテナの位相中心までとする。,1. 1級...3級基準点測量においては、既知点を電子基準点のみとすることができる。,2. スタティック法による観測距離 10km以上の観測で...使用衛星数を6衛星以上とする。,"3. ネットワーク型 RTK 法では...この解析処理は,観測終了後に後処理により行ってもよい。",5. スタティック法及び短縮スタティック法による基線解析では、原則として PCV 補正を行う。,アンテナ高の測定は、物理的に計測可能な「アンテナ底面（または特定の指標線）」までの高さを測り、それにアンテナ固有の位相中心オフセット量を加えて計算します。見えない「位相中心」までを直接メジャーで測ることは不可能です。,「位相中心」は見えないから直接測れない。底面まで測って計算する。
R6-10,基準点測量,"公共測量において GNSS 測量機を用いた基準点測量を行い、電子基準点Aから新点Bまでの距離 12,000.00 m,新点Bの楕円体高 497.57 mを得た。このとき、新点Bの標高は幾らか。最も近いものを次の1 ~ 5の中から選べ。ただし、電子基準点Aの標高は492.48m,楕円体高は534.09 m であり、ジオイド高は、電子基準点Aから新点Bの方向へ,距離 1,000.00 m 当たり-0.07mの一様な変化をしているものとする。また、距離は楕円体面上の距離とする。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 455.12 m◆2. 455.88 m◆3. 455.96 m◆4. 456.80 m◆5. 464.36 m",4. 456.80 m,1. 455.12 m,2. 455.88 m,3. 455.96 m,5. 464.36 m,1. A点のジオイド高 N_A = h - H = 534.09 - 492.48 = 41.61m。◆2. B点のジオイド高 N_B = 41.61 + (-0.07 × 12) = 41.61 - 0.84 = 40.77m。◆3. B点の標高 H_B = h - N_B = 497.57 - 40.77 = 456.80m。,標高＝楕円体高ージオイド高。この式だけで解ける。
R6-11,基準点測量,"次のa ~ eの文は、公共測量における GNSS 測量機による水準測量(以下「GNSS 水準測量」という。)について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a. 標高を定める測量であるため、GNSS 水準測量では,PCV 補正を行わない。◆b. GNSS 水準測量では、国土地理院が提供するジオイド・モデルを用いることにより、既知点からの距離が6~40kmの範囲において3級水準点を設置できる。◆c. GNSS 水準測量で使用できる既知点の種類は,一 ~ 二等水準点,電子基準点(標高区分:水準測量による)及び1~2級水準点である。◆d. GNSS 水準測量では,スタティック法又はネットワーク型 RTK 法により観測を行う。◆e. 大気中に含まれる水蒸気などによって電波の伝搬遅延量が増加し、高さ方向の精度に影響することから、寒冷前線や温暖前線が通過しているときは、原則として観測を行わない。","2. a, d","1. a, c","3. b, c","4. b, e","5. d, e","a: GNSS水準測量では高さを精密に求めるため、アンテナの位相特性（PCV）の補正は「必須」です。◆d: GNSS水準測量は、原則として「スタティック法」等の整置観測で行います。精度の劣る「RTK法」は用いません（※観測時間を短縮する手法はあるが、RTKではない）。◆a, dが誤りです。",高さの測量だからこそ、アンテナのクセ（PCV）補正は絶対必要。
R6-12,基準点測量,"次のa ~eの文は、公共測量における水準測量の誤差とその対策について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a. 望遠鏡の鉛直軸が傾いているために生じる誤差を視準線誤差といい、三脚の特定の1本を常に同一の標尺に向けて整置し、観測することで消去できる。◆b. 標尺の零目盛が正しくないために生じる誤差を零点誤差といい,レベルの設置回数(測点数)を偶数回にすることで消去できる。◆c. 標尺の下方を読定しないことで、大気の屈折による誤差の影響を小さくすることができる。◆d. 簡易水準測量においては、標尺付属水準器を使用して標尺を鉛直に立てることで標尺の傾きによる誤差を小さくすることができる。標尺付属水準器が無い標尺を使用する場合は、標尺を前後にゆっくり動かして読定値が最大となるところを読む。◆e. 地球の曲率の影響によって生じる誤差は,前視標尺と後視標尺を結ぶ直線上の中央にレベルを整置することで消去できる。","1. a, d","2. a, e","3. b, c","4. b, d","5. c, e","a: 視準線誤差の消去法は「前視と後視の距離を等しくすること」です。三脚の脚を向けるのは「鉛直軸誤差」の対策です。◆d: 標尺を揺らす（ウェビング）際、読み取るのは値が「最小」になるところです（垂直なときが最短距離＝最小値）。◆a, dが誤りです。",視準線誤差＝等距離で消す。ウェビング＝最小値を読む。
R6-13,基準点測量,"図13に示す水準点A ~ Dにおいて、公共測量における2級水準測量を実施し、表13の観測結果を得た。点検の結果、環閉合差が許容範囲を超えたことから往路及び復路の再測を行うこととした。再測路線として最も適当なものはどれか。次の1 ~ 5の中から選べ。ただし、環閉合差の許容範囲は5mm√S(Sは観測距離,km 単位)とする。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 路線 (1)◆2. 路線 (2)◆3. 路線 (3)◆4. 路線 (4)◆5. 路線 (5)",3. 路線 (3),1. 路線 (1),2. 路線 (2),4. 路線 (4),5. 路線 (5),各ループの閉合差を計算します。◆ループA-B-D-Aの閉合差が -21mm 程度となり、許容範囲（5√S）を超過しています。◆このループを構成する路線のうち、他の正常なループと共有していない路線、あるいは数値的に怪しい路線を特定します。路線(3)が該当します。,閉合差がデカいループを見つける。その中の単独犯を探す。
R6-14,地図・GIS,"次の1~5の文は、公共測量における地形測量のうち, GNSS 測量機を用いた現地測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. キネマティック法又は RTK 法による地形,地物等の測定において、観測に使用する衛星数は、5衛星以上を標準とする。◆2. ネットワーク型 RTK 法によるTS 点の設置を単点観測法により行う場合は、作業地域周辺の既知点において単点観測法により整合を確認するものとし、整合を確認する既知点数は1点を標準とする。◆3. キネマティック法又はRTK 法による地形、地物等の測定は、基準点又はTS 点に GNSS 測量機を整置し、放射法により行うものとし、観測は1セット行うものとする。◆4. ネットワーク型 RTK 法による地形、地物等の測定は,GNSS 測量機1台で行うことができる。◆5. 使用する測量機は、2級以上の性能を有する GNSS 測量機とする。",2. ...整合を確認する既知点数は1点を標準とする。,1. ...観測に使用する衛星数は、5衛星以上を標準とする。,3. ...放射法により行うものとし、観測は1セット行うものとする。,4. ...GNSS 測量機1台で行うことができる。,5. ...2級以上の性能を有する GNSS 測量機とする。,ネットワーク型RTK法で整合性を確認（現場検定）する場合、全体のズレや歪みをチェックするため、既知点は「2点以上」で確認するのが標準です。1点では回転などのズレが分かりません。,チェックは「2点以上」でないと、ズレや回転が分からない。
R6-15,地図・GIS,"A市では、5年前に作成した地図情報レベル1000の数値地形図データを公共測量により修正することとした。次のa~eの文は、その作業内容について述べたものである。明らかに間違っているものだけの組合せはどれか。次の 1 ~ 5 の中から選べ。◆a. 市域の一部において、国土地理院が2年前に作成した地図情報レベル2500の基盤地図情報が公開されていたため、当該基盤地図情報から経年変化箇所の建築物の外周線データを取得した。◆b. 4年前に完成した道路について、車載写真レーザ測量によって修正データを取得した。◆c. 市域の一部において、2年前に撮影した空中写真から地上画素寸法 0.4mの写真地図を作成していたため、3年前に完成した体育館の修正データを当該写真地図から取得した。◆d. 半年前の土砂災害で形状が変化した斜面について,UAV(無人航空機) レーザ測量によって修正データを取得した。◆e. 1年前に完成した海岸部の埋立地について,UAV写真測量によって修正データを取得した。","1. a, c","2. a, d","3. b, d","4. b, e","5. c, e","a: レベル1000（高精度）の地図修正に、レベル2500（低精度）のデータを使うことはできません（精度が落ちるため）。逆は可能です。◆c: 地上画素寸法0.4m（40cm）の写真地図は、レベル1000（位置誤差数十cm以内）の修正に使うには解像度・精度が不足しています。◆a, cが誤りです。",「大（粗いデータ）は小（精密データ）を兼ねない」。精度の低いデータで修正してはいけない。
R6-16,地図・GIS,"公共測量におけるトータルステーション(以下「TS」という。)を用いた細部測量において, 地形,地物等の状況により、図16に示すとおり基準点A及び基準点BからTS 点Cを設置することとした。次の文は、このTS 点の水平位置の精度(標準偏差)を求める手順について述べたものである。基準点A,基準点Bの平面直角座標系(平成14年国土交通省告示第9号)に基づく座標値は表16-1のとおりである。基準点AにTSを整置し、放射法により TS点Cの観測を行ったところ,表 16-2の結果を得た。使用した TSの水平距離Dを測定する精度(標準偏差σD)は5mm,水平角αを測定する精度(標準偏差σα)は5″とする。また,TS による距離測定と角度測定は独立で互いに影響を与えないものとし、基準点の誤差及びその他の観測誤差は考えないものとする。このとき、今回設置した TS点CのX座標値及びY 座標値の標準偏差 Oxc, Oyc は幾らか。最も近いものの組合せを次の1~5の中から選べ。ただし、式16-2,式16-3及び式16-4の距離の単位は mm, 角度の単位はラジアンとし,1ラジアンは(2 × 10^5)”とする。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 3 mm, 3 mm◆2. 3 mm, 5 mm◆3. 4 mm, 5 mm◆4. 5 mm, 3 mm◆5. 5 mm, 5 mm","2. 3 mm, 5 mm","1. 3 mm, 3 mm","3. 4 mm, 5 mm","4. 5 mm, 3 mm","5. 5 mm, 5 mm","1. 方向角計算: 既知点A-Bの方向角は0°（X軸上）。観測角60°なので、A→Cの方向角 T = 60°。◆2. 座標計算:◆   Xc = A_x + D cos60° = 0 + 50×0.5 = 25◆   Yc = A_y + D sin60° = 0 + 50×0.866 = 43.3◆3. 誤差伝播:◆   σx2 = (cosT)2σD2 + (D sinT)2(σα/ρ)2◆   σy2 = (sinT)2σD2 + (D cosT)2(σα/ρ)2◆   cos60°=0.5, sin60°=0.866。◆   距離項: σD=5mm。角度項: 50m×5秒 ≒ 1.2mm（小さい）。◆   計算すると、σx ? 3mm, σy ? 5mm となる。",Y軸方向（sin成分）の方が係数が大きいので、Yの誤差が大きくなる。
R6-17,地図・GIS,"画面距離 10 cm,画面の大きさ 17,000画素 × 11,000画素,撮像面での素子寸法6?m のデジタル航空カメラを鉛直下に向けて撮影した1枚の数値写真がある。この数値写真には図17のように、主点付近には正方形の平らな屋上を持つ建物が,主点から画面の短辺と平行に左へ離れた場所には高塔の先端と根元を両端とする高塔の像が,それぞれ写っている。なお、図17ではこれらの地物を実際より拡大して示している。主点付近にある建物の屋上の一辺を数値写真上で計測したところ,300 画素の長さであった。この建物は標高180mの地点に立ち、建物の高さは20m, 屋上の一辺の実長は36mである。一方,高塔は標高0mで傾斜のない場所に立っている。数値写真上で計測したところ,主点からこの高塔の先端までの長さは4,000画素,高塔の像の長さは 140 画素であった。この高塔の高さは幾らか。最も近いものを次の 1 ~ 5 の中から選べ。ただし、数値写真の主点と鉛直点は一致するものとし、建物の屋上の一辺、及び高塔の像は画面の短辺と平行に写っているものとする。また、高塔は鉛直方向にまっすぐに立ち、高塔の太さは考慮しないものとする。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 70 m◆2. 71 m◆3. 74 m◆4. 76 m◆5. 77 m",5. 77 m,1. 70 m,2. 71 m,3. 74 m,4. 76 m,"1. 撮影高度Hの決定:◆   建物の実長L=36m, 写真上の長さl=300px×6μm=1.8mm。◆   縮尺 1/m = l/L = 1.8mm / 36000mm = 1/20000。◆   建物頂部（標高180+20=200m）での縮尺なので、◆   1/20000 = f / (H - 200)。f=0.1m。◆   H - 200 = 20000 × 0.1 = 2000m。よって H = 2200m。◆2. 高塔の高さhの計算:◆   写真上の変位量 d = 140px = 0.84mm。◆   写真中心からの距離 r = 4000px = 24mm。◆   変位の公式 d = (r × h) / H (※塔の底面は標高0mなのでHそのまま)。◆   0.84 = (24 × h) / 2200。◆   h = (0.84 × 2200) / 24 = 77m。",まず縮尺から高度Hを出す。次に変位公式 d=rh/H で高さを出す。
R6-18,地図・GIS,"次のa~eの文は、リモートセンシングについて述べたものである。明らかに間違っているものだけの組合せはどれか。次の1 ~ 5 の中から選べ。◆a. 光学センサで広く採用されているプッシュブルーム走査方式のラインセンサでは,人工衛星の進行とともに帯状に画像を取得しており、その画像は正射投影画像である。◆b. 熱赤外線のリモートセンシングでは、対象物からの熱放射を観測するため、夜間でも水面の温度や雲の分布を観測することができる。◆c. 可視光の波長帯は、近赤外線の波長帯に比べて植物からの反射率が高い。◆d. 合成開口レーダ(SAR)は、対象物にマイクロ波を照射し、その反射波を受信して地表面の状態を把握する能動型センサである。◆e. 光学センサで受信する電磁波は,マイクロ波センサで受信する電磁波より波長が短く,より雲を透過しづらい。","2. a, c","1. a, b","3. b, d","4. c, e","5. d, e","a: プッシュブルーム方式で取得される生の画像は、中心投影（またはそれに近い円筒投影的な）画像であり、地形歪みを含みます。「正射投影画像（オルソ）」ではありません。◆c: 植物は「近赤外線」を強く反射する性質があります（活性度が高いほど）。可視光（緑以外）は吸収されるため、反射率は近赤外の方が高いです。◆a, cが誤りです。",衛星画像も「中心投影」。植物は「近赤外」でピカピカ光る。
R6-19,地図・GIS,"次の1~5の文は、公共測量における地形測量及び写真測量のうち、三次元点群測量について述べたものである。明らかに間違っているものはどれか。次の1~ 5 の中から選べ。◆1. 地上レーザ測量では、地上レーザスキャナを用いて地形、地物等を計測し、取得したデータから三次元点群データを作成する。◆2. UAV(無人航空機)写真点群測量では、UAVにより地形、地物等を撮影し、その数値写真を用いて三次元点群データを作成する。◆3. UAV レーザ測量では, UAV に搭載した位置姿勢データ取得装置及びレーザ測距装置を用いて地形,地物等を計測し、三次元形状復元計算により三次元点群データを作成する。◆4. 車載写真レーザ測量では、車両に搭載した自車位置姿勢データ取得装置,レーザ測距装置,計測用カメラなどを用いて道路及びその周辺の地形,地物等を計測し、取得した写真・点群データから三次元点群データを作成する。◆5. 航空レーザ測量では、航空レーザ測量システムを用いて地形、地物等を計測し、レーザ測距データと最適軌跡解析データの統合解析により,三次元点群データを作成する。",3. UAV レーザ測量では...三次元形状復元計算により三次元点群データを作成する。,1. 地上レーザ測量では...取得したデータから三次元点群データを作成する。,2. UAV(無人航空機)写真点群測量では...数値写真を用いて三次元点群データを作成する。,4. 車載写真レーザ測量では...取得した写真・点群データから三次元点群データを作成する。,"5. 航空レーザ測量では...統合解析により,三次元点群データを作成する。",「三次元形状復元計算（SfM処理）」は、重なり合った「写真」から形状を復元する手法です。UAV「レーザ」測量は、レーザの反射時間から直接距離を測るため、この計算手法は用いません。,レーザ測量は「直接測る」。形状復元計算は「写真」の話。
R6-20,地図・GIS,"次の1~5の文は,公共測量における UAV(無人航空機) レーザ測量について述べたものである。明らかに間違っているものはどれか。次の1~ 5 の中から選べ。◆1. 標準的な計測点間隔は、要求点間隔(要求点密度等を満たすために均等かつ最小限に計測する場合の点間隔)と定数日を用いて、計測点間隔 = 要求点間隔/日(ただし,日は 1.1 ~ 1.5)で求めることを標準とする。◆2. スキャン角度は、計測対象物へのレーザ光の入射角を45°以上とするとともに、必要な計測距離を満たすように定めることを標準とする。◆3. 計測対象物との距離は、使用するレーザ測距装置の最大測距距離の80%以下となるように定めることを標準とする。◆4. コース間重複度は,30%以上とすることを標準とする。◆5. UAV の位置の決定は,GNSS によるキネマティック法で行うものとし、キネマティック解析で用いる固定局は、計測地域から直線距離で80kmを超えないものとする。",5. ...固定局は、計測地域から直線距離で80kmを超えないものとする。,1. ...計測点間隔 = 要求点間隔/日...で求めることを標準とする。,2. スキャン角度は...入射角を45°以上とすることを標準とする。,3. ...最大測距距離の80%以下となるように定めることを標準とする。,"4. コース間重複度は,30%以上とすることを標準とする。",UAVレーザ測量におけるGNSSキネマティック解析の固定局（基準局）間距離は、精度確保のため通常「20km以内」等の短い距離が推奨されます。「80km」は電子基準点を利用する場合などの限界距離に近いですが、標準的な規定としては長すぎます（作業規程の準則を確認）。◆(※注: 準則ではUAVレーザの固定局距離は原則「半経20km以内」など厳しい),基準局が遠いと精度が出ない。UAVレーザなら20km圏内が目安。
R6-21,地図・GIS,"図21は、国土地理院刊行の電子地形図25000の一部(縮尺を変更)である。次の1~5の文は、この図に表現されている内容について述べたものである。明らかに間違っているものはどれか。次の1 ~ 5 の中から選べ。ただし、表21に示す数値は、図21に示す範囲の四隅の経緯度を表す。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 図の北東にある二つの病院間の水平距離は,320mより長い。◆2. 変電所・発電所の標高は、およそ25mである。◆3. 交番の経緯度は、およそ北緯 33°12′23″,東経 132°33′24″である。◆4. 博物館北にある水準点と図の南東にある三角点の斜距離は,1,000 m より長い。◆5. 別当六丁目西側にある崖には、上端と下端の比高が20mより大きい場所がある。","3. 交番の経緯度は、およそ北緯 33°12′23″,東経 132°33′24″である。","1. ...病院間の水平距離は,320mより長い。",2. 変電所・発電所の標高は、およそ25mである。,"4. ...水準点と...三角点の斜距離は,1,000 m より長い。",5. ...崖には、上端と下端の比高が20mより大きい場所がある。,読図問題。◆図郭の経緯度数値と、交番の位置関係から座標を読み取ります（内分計算）。◆記述の座標値が、図上の位置と大きく食い違っています（例：分・秒の読み取りミスなど）。,図の四隅の数字を使って、比例計算で座標を出す。
R6-22,地図・GIS,"地図投影法は,経緯線網の形状によって、円筒図法,円錐図法,方位図法などに分類できる。方位図法で描かれた地図はどれか。次の 1 ~ 5 の中から選べ。◆(画像のため選択肢のテキスト化は省略)",1. (正射図法の図),2. (メルカトル図法の図),3. (サンソン図法の図),4. (モルワイデ図法の図),5. (グード図法の図),正射図法（オーソグラフィック）は、地球を無限遠から見たような、球体をそのまま円形に描いた図法です。これを選択します。メルカトル（円筒）やモルワイデ（擬円筒）と区別します。,地球を外から見た「まん丸」の図が正射図法（方位図法）。
R6-23,地図・GIS,"次の1~5の文は、GIS の機能を使った地理空間情報の利用に関して述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 航空レーザ測量で得た数値地形モデル(DTM)と基盤地図情報の建築物の外周線データのみを用いて、津波避難ビルの建物の高さを算出することができる。◆2. GIS のジオリファレンスの機能により、過去の写真地図に座標を与えて、現在の地図と重ね合わせて比較することができる。◆3. GIS のネットワーク分析の機能により、ネットワーク化された道路中心線データと消防署及び火災現場の位置を表す点データのみを用いて,消防署から火災現場までの最短ルートを表示することができる。◆4. GIS のバッファリングと空間検索の機能により、自宅及び病院の位置を表す点データのみを用いて、自宅から半径5kmの範囲内にある病院を抽出することができる。◆5. GIS のボロノイ分割の機能により、公民館及び駅の位置を表す点データのみを用いて,市内全域の各公民館からそれぞれ直線距離が最も短い駅を特定することができる。",1. ...DTMと...建築物の外周線データのみを用いて、...建物の高さを算出することができる。,2. GIS のジオリファレンスの機能により...比較することができる。,3. GIS のネットワーク分析の機能により...最短ルートを表示することができる。,4. GIS のバッファリングと空間検索の機能により...病院を抽出することができる。,5. GIS のボロノイ分割の機能により...最も短い駅を特定することができる。,建物の高さを知るには、地面の高さ（DTM）だけでなく、建物の屋根の高さ（DSM）が必要です。建築物の外周線（2次元の枠）だけでは高さは分かりません。,地面（DTM）と枠線だけじゃ、建物の背丈は分からない。
R6-24,地図・GIS,"次の1~5の文は、国土地理院がインターネットで提供している地図「地理院地図」をはじめとするウェブブラウザ上でシームレスに移動・拡大・縮小できる二次元の地図(以下「ウェブ地図」という。)について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 地理院地図では、地図画像をタイル状に分割して配信している。個々のタイル画像は、メルカトル投影の数式を使用した上で、正方形になるよう変換されている。なお、極域の一部地域は配信対象から除外されている。◆2. ウェブ地図では,現在,地図表示のリクエストがある度に、その範囲のデータをサーバ側で切り抜いて配信する方式が多く採用されている。◆3. 地理院地図では,地球を回転楕円体ではなく、地球の長半径を半径とした真球で投影する図法が採用されている。◆4. ウェブ地図のタイルとして配信されるデータには、ラスタ形式とベクタ形式のものがある。◆5. メルカトル投影法を用いて作成されたウェブ地図では、画面の解像度やウェブブラウザの拡大率及びズームレベルを変えない場合,同一の距離を表すスケールバーの画面上の長さは高緯度ほど長くなる。","2. ウェブ地図では,現在,地図表示のリクエストがある度に...切り抜いて配信する方式が多く採用されている。",1. 地理院地図では、地図画像をタイル状に分割して配信している。...,"3. 地理院地図では,地球を...真球で投影する図法が採用されている。",4. ウェブ地図のタイルとして配信されるデータには、ラスタ形式とベクタ形式のものがある。,5. メルカトル投影法...スケールバーの画面上の長さは高緯度ほど長くなる。,現在のウェブ地図（地理院地図やGoogleマップ等）は、あらかじめ作成された「タイル画像」を組み合わせて表示する「タイル方式」が主流です。リクエストの度にサーバーで切り抜く方式は、処理負荷が高く一般的ではありません。,Web地図は「タイル」を並べている。毎回切り抜いているわけではない。
R6-25,応用測量,"図25のように、国道と県道に接続する道路の建設を計画している。国道と県道はいずれも直線である。新設する道路 P? ~ P? は,学校用地を避けて建設する予定で、基本型クロソイド(対称型)とする。点P?及び点P?はクロソイド曲線始点,点P?及び点P?はクロソイド曲線終点,曲線P?~ P?は円曲線である。また、直線 P? ~ P?と国道,直線P?~P? と県道は直交するものとする。このとき、新設する道路 P? ~ P? の路線長は幾らか。最も近いものを次の1~5の中からです選べ。ただし、円曲線の曲線半径R = 100 m,クロソイドパラメータ A = 90 m,交角 I = 90°,直線 P? ~ P?の長さは230m,直線P?~P?は110mとし,クロソイド曲線終点の曲線半径は円曲線の曲線半径に一致させるものとする。また、対象とする土地は平たんなものとする。なお、円周率π = 3.142 とし、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 416 m◆2. 497 m◆3. 502 m◆4. 578 m◆5. 659 m",4. 578 m,1. 416 m,2. 497 m,3. 502 m,5. 659 m,1. クロソイド曲線長 L = A2 / R = 902 / 100 = 81m。◆2. クロソイドの接線角 τ (rad) = L / 2R = 81 / 200 = 0.405 rad。◆3. 円曲線部の中心角 θ_c = I - 2τ (度数法変換が必要)。◆   τ(度) = 0.405 × (180/π) ? 23.2°。◆   θ_c = 90° - 2×23.2° = 43.6°。◆4. 円曲線長 CL = R × θ_c(rad) = 100 × (43.6 × π/180) ? 76.1m。◆   (または CL = R(I_rad - L/R) = 100(1.57 - 0.81) = 76m)◆5. 曲線部全長 = 2L + CL = 162 + 76.1 = 238.1m。◆6. 総路線長 = 直線部(230+110) + 曲線部(238.1) = 340 + 238.1 = 578.1m。,曲線部（クロソイド2つ＋円）の長さを計算して、直線を足す。
R6-26,応用測量,"次の1~5の文は、公共測量における用地測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 境界確認が完了したときは、土地境界確認書を作成し、関係権利者全員に確認したことの署名等を求める。◆2. 境界測量は、近傍の4級基準点以上の基準点に基づき,放射法等により行うものとする。ただし、やむを得ない場合は、補助基準点を設置し、それに基づいて行うことができる。◆3. 平地における境界点間測量において、隣接する境界点間の距離が30mの場合,較差の許容範囲は15mmを標準とする。◆4. 面積計算は、境界測量の成果に基づき,各筆等の取得用地及び残地の面積を算出し面積計算書を作成する作業であり、原則として三斜法により行うものとする。◆5. 用地平面図データは、地図情報レベル 250を標準として,用地実測図データの必要項目を抽出するとともに、現地において建物等の主要地物を測定し作成する。",4. 面積計算は...原則として三斜法により行うものとする。,1. 境界確認が完了したときは、土地境界確認書を作成し...署名等を求める。,"2. 境界測量は、近傍の4級基準点以上の基準点に基づき,放射法等により行うものとする。","3. ...隣接する境界点間の距離が30mの場合,較差の許容範囲は15mmを標準とする。",5. 用地平面図データは、地図情報レベル 250を標準として...作成する。,用地測量の面積計算は、原則として「座標法」により行います。三斜法は古い手法であり、現在は原則用いられません。,面積計算は「座標法」。三斜法は昔の話。
R6-27,応用測量,"図27は、境界点A,B,Cを順に直線で結ぶ境界線 ABC で区割りされた甲及び乙の所有する土地を示しており,表27は,トータルステーションを用いて境界線の測量を行い、水平角α, β及び距離 S?, S?を測定した結果である。甲及び乙の所有する土地の面積が変わらないように整正するため、新たに境界線 AP を設けることとした。このとき、CP間の距離を幾らにすればよいか。最も近いものを次の1~5の中から選べ。ただし、甲及び乙の所有する土地は平たんなものとする。なお、関数の値が必要な場合は、巻末の関数表を使用すること。◆1. 13.177 m◆2. 14.585 m◆3. 16.667 m◆4. 17.979 m◆5. 24.519 m",2. 14.585 m,1. 13.177 m,3. 16.667 m,4. 17.979 m,5. 24.519 m,1. 全体の面積を座標法で計算します。◆2. 面積を等分（または指定比率）にする境界線APの位置を求めます。◆3. 三角形の面積公式（底辺×高さ÷2）等を利用し、点Cから点Pまでの距離を逆算します。◆計算結果、約14.585mとなります。,等面積分割。三角形の面積公式を使って底辺の長さを出す。
