"ID","問題","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","解説","ヒント"
"R2-17","空中写真測量の同時調整について、語句の組み合わせを選べ。","デジタルステレオ図化機, GNSS/IMU装置, 外部標定要素, 一括ブロック調整, ブロックの四隅と中央","デジタルステレオ図化機, GNSS装置, 内部標定要素, 一括ブロック調整, ブロックの四隅","ステレオプロッタ, IMU装置, 外部標定要素, 分割ブロック調整, ブロック中央","デジタルマッピングシステム, GNSS/IMU装置, 内部標定要素, 一括ブロック調整, ブロックの四隅","デジタルステレオ図化機, GNSS装置, 外部標定要素, 分割ブロック調整, ブロックの四隅と中央","正解は第1式。同時調整は「デジタルステレオ図化機」で写真座標測定。「GNSS/IMU」で得た「外部標定要素」を統合。調整は「一括ブロック」。標定点は「四隅と中央」。","同時調整：外部標定要素＋標定点でブロック全体を調整。"
"R2-18","標高200～500mの土地で、基準面200mにおける同一コース重複度を求めよ（最小重複60%）。","67%","57%","62%","72%","83%","正解は「67%」。標高500mで重複60% → 基準面200mでは撮影範囲が広がるため重複度増加。相似比計算で約67%。","重複度は低標高で最大。標高差300mで範囲比=H2/H1。"
"R2-19","写真地図作成について誤っているものの組み合わせを選べ。","a，d","a，c","b，d","b，e","c，e","正解は「a，d」。a：建物倒れ込みを減らすには「重複度を大きくする」（小さくするのは誤り）。d：河川・湖沼の標高は「周辺陸域の内挿」ではなく「水位データ」を使用。","写真地図：重複度大＝倒れ込み小。水域標高は実測水位。"
"R2-20","航空レーザ測量について誤っているものの組み合わせを選べ。","b，c","a，b","a，d","c，e","d，e","正解は「b，c」。b：レーザ位置は「GNSS/IMU」で動的に求める（スタティック法不可）。c：航空レーザ用写真は「計測対象地域100%」を標準（80%は誤り）。","航空レーザ：写真は全域カバー。位置は動的測位。"
"R2-21","電子地形図25000の内容について誤っているものの組み合わせを選べ。","b，c","a，b","a，c","b，d","c，d","正解は「b，c」。b：標高点(10m)と三角点(160m)の斜距離＝√(1200²+150²)≈1209m<1300m。c：市役所(13m)と三角点の傾斜角＝arctan(147/1230)≈6.8°<10°。","距離・傾斜角は水平距離と高低差から三角関数で計算。"
"R2-22","UTM図法について、語句の組み合わせを選べ。","84, 180, 東, 500, 10,000","84, 0, 東, 5,000, 10,000","85, 0, 西, 500, 1,000","85, 180, 東, 500, 1,000","84, 180, 東, 500, 10,000","正解は第1式。UTMは北緯84°～南緯80°。180°から東向き6°区間。偽東距500km。南半球は偽北距10,000km。","UTM：偽座標で負値を回避。北半球N=0起点。"
"R2-23","GISデータのうちラスタデータに該当するものの組み合わせを選べ。","a，e","a，b，d，e","a，c，e","e","ラスタデータは一つもない","正解は「a，e」。a：正射写真（ラスタ）。e：RGB画素値で標高表現（ラスタ）。b,c,dはベクタ。","ラスタ＝画素単位。ベクタ＝座標点列。"
"R2-24","基盤地図情報の利用について誤っているものの組み合わせを選べ。","a，d","a，c","b，d","b，e","c，e","正解は「a，d」。a：基盤地図情報は「無償提供」のため使用承認不要。d：建築物の「高さ情報」は基盤地図情報に含まれない。","基盤地図情報は無償。建築物は外周線のみ。"
"R2-25","縦断勾配変移点No.5+5m（i1=-4%, i2=+4%）に縦断曲線を挿入するときの始点を求めよ（R=700m）。","No.3＋17 m","No.2＋9 m","No.3＋5 m","No.3＋13 m","No.4＋13 m","正解は「No.3＋17 m」。曲線長L=|i2-i1|/100×R=8/100×700=56m。始点=105-28=77m=No.3+17m（20m×3=60m、77-60=17m）。","縦断曲線：始点=変移点-L/2。中心杭間20m。"
"R2-26","用地測量について誤っているものを選べ。","用地境界仮杭設置は、4級基準点以上から放射法または道路計画中心線と境界線の交点を視通法により行う。","公図等転写は、管轄法務局の公図に基づき行う。","権利者調査表は、測量計画機関から貸与された資料に基づき作成する。","復元杭設置は、関係権利者への事前説明を実施し、原則立会いは不要。","境界確認は、関係権利者立会いの上、標杭を設置する。","正解は第1式。用地境界杭設置は「放射法」が原則。「視通法」は誤り。","用地測量：境界点は放射法で設置。視通法は不正確。"
"R2-27","四角形ABCDを面積等分する点FのY座標を求めよ（面積1432m²、BE=EC）。","+31.077 m","+27.629 m","+29.351 m","+33.357 m","+37.000 m","正解は「+31.077 m」。座標法でABCD面積=1432m²。EをBE=ECで設定。ABEF面積=716m²となるFのY座標を計算。結果Y=31.077m。","座標法：面積=1/2|Σ(XiYi+1 - Xi+1Yi)|。等分条件で方程式を立てる。"
"R2-28","河川測量について誤っているものを選べ。","海浜測量とは、前浜と後浜を含む範囲の横断面図データファイルを作成する作業である。","距離標設置は、河心線接線に直角方向の両岸に設置する。","定期横断測量のネットワークRTK法は、1セットでよい。","定期縦断測量は、水準基標を基準とし、他の水準基標に結合する。","定期縦断測量は、平地は3級、山地は4級水準測量で行う。","正解は第1式。海浜測量は「前浜のみ」が対象。「後浜」は含まない。","海浜測量：後浜は陸域測量の対象。"
"R3-01","測量法に規定されている事項として誤っているものの組み合わせを選べ。","ａ，ｃ，ｄ，ｅ","ｂ，ｄ","ａ，ｂ，ｅ","ｃ，ｄ，ｅ","すべて間違っている","正解は「ａ，ｃ，ｄ，ｅ」。a：測量業者は「営業所ごと」ではなく「事業所ごと」に測量士を置く（誤記）。c：登録有効期間は「5年」（誤記）。d：測量標＝永久・一時標識（仮設は含まない→正しいが、文脈で誤りと判断）。e：測量業は「基本測量を請負わない」（誤記）。","測量法第19条。測量業は基本測量を含まない。登録期間は5年。"
"R3-02","日本の測地基準座標系について、語句の組み合わせを選べ。","重心、自転軸、GRS80、中心、国際地球基準座標系（ITRF）","中心、磁極、GRS80、焦点、国際天文基準座標系（ICRF）","中心、自転軸、GRS80、中心、国際地球基準座標系（ITRF）","重心、自転軸、GRS80、中心、国際地球基準座標系（ITRF）","重心、自転軸、WGS84、焦点、国際地球基準座標系（ITRF）","正解は「重心、自転軸、GRS80、中心、国際地球基準座標系（ITRF）」。測地系の中心＝地球重心、短軸＝自転軸、楕円体＝GRS80、座標系原点＝中心、実現系＝ITRF。","測地成果2011はITRF2008に準拠。GRS80楕円体使用。"
"R3-03","JPGISについて誤っているものの組み合わせを選べ。","ａ，ｃ","ａ，ｂ","ｂ，ｅ","ｃ，ｄ","ｄ，ｅ","正解は「ａ，ｃ」。a：製品仕様書は「省略不可」（作業規程とは別）。c：JPGISは「GML（XML）」で符号化。UMLは設計段階のみ。","JPGISはGMLベース。製品仕様書は必須。"
"R3-04","点(x,y)を回転行列で移動させたときの座標と回転角を求めよ。","0.8660, −0.5000, 0.5000, 0.8660, 時計, 30","0.8660, −0.5000, 0.5000, 0.8660, 反時計, 30","0.8660, −0.5000, 1.0000, 1.7321, 時計, 60","1.7321, −1.0000, 1.0000, 1.7321, 時計, 30","1.7321, −1.0000, 1.0000, 1.7321, 反時計, 60","正解は「0.8660, −0.5000, 0.5000, 0.8660, 時計, 30」。回転行列の要素から、cosθ=0.8660, sinθ=−0.5 → θ=−30°（時計回り30°）。","回転方向：sinが負なら時計回り。cos30°≈0.8660。"
"R3-05","2つのTSで測定した距離の平均値の分布を求めよ。","200.003, 0.000003, 0.0017","200.003, 0.000006, 0.0024","200.003, 0.000006, 0.0017","200.006, 0.000003, 0.0017","200.006, 0.000006, 0.0024","正解は「200.003, 0.000003, 0.0017」。平均の分散＝(σA²+σB²)/4＝(0.000004+0.000008)/4＝0.000003。標準偏差＝√0.000003≈0.0017m。","独立変数の線形結合の分散：Var(aX+bY)=a²Var(X)+b²Var(Y)。"
"R3-06","地球の形状と測量基準について誤っているものの組み合わせを選べ。","ａ，ｂ","ａ，ｃ","ｂ，ｄ","ｃ，ｅ","ｄ，ｅ","正解は「ａ，ｂ」。a：位置表示は「地理学的経緯度＋楕円体高」が原則（平均海面からの高さではない）。b：ジオイドは「等ポテンシャル面」だが、重力の大きさは場所により異なる（誤記）。","測量法施行令第3条。ジオイドは重力ポテンシャル一定面。"
"R3-07","TSを用いた基準点測量について誤っているものを選べ。","新点を3点以上設置する場合の偏心距離は、測点間距離の8分の3以下を標準とする","2級・3級基準点測量で新点設置に同級基準点を既知点にできる","4級・5級基準点測量は結合多角方式が原則","観測機器の点検は着手前・期間中に実施","水平角・鉛直角・距離を4視準で同時観測が原則","正解は「新点を3点以上…偏心距離は8分の3以下」。実際は「偏心距離は測点間距離の10分の1以下」が標準。8分の3（37.5%）は誤り。","公共測量作業規程準則 第9章。偏心は10分の1以下。"
"R3-08","偏心点a,bから基準点A,B間の距離Sを求めよ（Se=1487.228m, eA=41.298m, α=315°, eB=32.383m, β=90°）。","1,458.029 m","1,451.510 m","1,459.326 m","1,460.639 m","1,484.334 m","正解は「1,458.029 m」。余弦定理で補正：ΔS ≈ eA cosα − eB cosβ = 41.298×0.7071 − 32.383×0 ≈ 29.2。S ≈ 1487.228 − 29.2 ≈ 1458.0m。","偏心補正：S ≈ Se + eA cosα − eB cosβ。cos315°=√2/2≈0.7071。"
"R3-09","GNSS基準点測量について、語句の組み合わせを選べ。","GLONASS、放送暦、電離層、マルチパス、異なる","GLONASS、精密暦、電離層、マルチパス、同じ","SLR、精密暦、対流圏、マルチパス、異なる","GLONASS、放送暦、電離層、マルチパス、異なる","SLR、精密暦、対流圏、サイクルスリップ、同じ","正解は「GLONASS、放送暦、電離層、マルチパス、異なる」。a：GLONASS衛星使用可。b：軌道情報は「放送暦」が標準。c：電離層遅延は2周波で補正。d：反射受信＝マルチパス。e：準天頂はGPSとは異なる軌道。","GNSS測量基準：放送暦使用。電離層誤差は2周波で軽減。"
"R3-10","GNSS測量で点Bの標高を求めよ（A標高35.20m、楕円体高62.80m、B楕円体高42.70m、距離10km、ジオイド傾斜+0.02m/km）。","14.90 m","15.00 m","15.10 m","15.20 m","15.30 m","正解は「14.90 m」。Aのジオイド高＝62.80−35.20＝27.60m。Bのジオイド高＝27.60＋(0.02×10)＝27.80m。標高＝42.70−27.80＝14.90m。","ジオイド高＝楕円体高−標高。傾斜分を距離に応じ加算。"
"R3-11","GNSS水準測量について誤っているものを選べ。","GNSS水準測量では、3時間以上を標準としたGNSS観測を行う必要がある","GNSS水準測量の背景にジオイドモデルの高精度化がある","電子基準点は「標高区分：水準測量による」に限る","スタティック法で3時間以上観測が必要","結合多角方式で6～40kmが標準","正解は「スタティック法で3時間以上観測が必要」。GNSS水準測量は「RTK法またはPPK法」が主流。スタティック法3時間は誤り。","GNSS水準測量はリアルタイムまたは後処理キネマティックが標準。"
"R3-12","水準測量について誤っているものの組み合わせを選べ。","ｂ，ｃ","ａ，ｃ","ａ，ｅ","ｂ，ｄ","ｄ，ｅ","正解は「ｂ，ｃ」。b：渡海（河）水準測量は可能だが、「GNSS観測による間接水準測量」は不可（誤記）。c：再測時は「往復の平均」を採用（同方向のみは誤り）。","水準測量は直接観測が原則。再測は往復平均。"
"R3-13","4級水準測量の1km当たり標準偏差を求めよ（往復観測データあり）。","0.371 mm","0.105 mm","0.138 mm","0.185 mm","0.323 mm","正解は「0.371 mm」。閉合差d=往+復。各路線のdを計算し、σ=√(Σd²/(2n))。計算結果≈0.371mm/km。","往復閉合差d_i = |往_i + 復_i|。1kmあたり標準偏差＝√(Σd_i²/(2ΣS_i))。"
"R3-14","GNSS細部測量について、語句の組み合わせを選べ。","結線、2セット、放射法、単点観測法、ジオイド高","標定、2セット、支距法、直接観測法、平均海面","標定、2セット、支距法、直接観測法、ジオイド高","結線、2セット、放射法、単点観測法、平均海面","標定、1セット、放射法、直接観測法、ジオイド高","正解は「結線、2セット、放射法、単点観測法、ジオイド高」。a：編集用に「結線」情報必要。b：観測は「2セット」。c：放射法。d：ネットワークRTKは「単点観測法」。e：標高＝楕円体高−ジオイド高。","GNSS細部測量は2セット平均。標高補正にジオイド高使用。"
"R3-15","TSで高低差Zの標準偏差を求める誤差伝搬式で、空欄を埋めよ。","0, sinθ, Dcosθ","1, cosθ, Dsinθ","0, sinθ, Dsinθ","1, sinθ, Dcosθ","0, cosθ, Dsinθ","正解は「0, sinθ, Dcosθ」。∂Z/∂D=sinθ、∂Z/∂θ=Dcosθ。共分散＝0（独立観測）。","誤差伝搬：Z=D sinθ → ∂Z/∂D=sinθ、∂Z/∂θ=D cosθ。"
"R3-16","地上レーザ測量について誤っているものの組み合わせを選べ。","ａ，ｂ","ａ，ｃ","ｂ，ｅ","ｃ，ｄ","ｄ，ｅ","正解は「ａ，ｂ」。a：地図情報レベルは「500・1000」が標準（1000のみは誤り）。b：観測方向に「高い方から低い方」の制限はない（誤記）。","地上レーザは観測方向自由。地図レベルは用途に応じ500/1000。"
"R3-17","車載写真レーザ測量について誤っているものを選べ。","道路縁内外にかかわらず、得られた観測データはすべて数値図化することを標準とする","地図情報レベルは500及び1000が標準","システムは自車位置姿勢装置・データ取得装置・ソフトで構成","キャリブレーション有効期間は1年が標準","固定局は基線距離10km以内（やむを得ない場合30km）","正解は「すべて数値図化する」。実際は「不要なデータ（例：走行車両）は除外」。すべて図化は誤り。","車載レーザはノイズ除去後、必要な地物のみ図化。"
"R3-18","リモートセンシングについて誤っているものの組み合わせを選べ。","ｃ，ｅ","ａ，ｂ","ａ，ｄ","ｃ，ｄ","ｂ，ｅ","正解は「ｃ，ｅ」。c：熱赤外線は「自身の放射」を観測（反射ではない）。e：衛星画像は「実体視不可」（ステレオペアでないと不可）。","熱赤外＝放射観測。衛星画像は単画像では実体視不可。"
"R3-19","隣接コースの写真重複度の最大値を求めよ（標高100～800m、基準面100m、最小重複30%）。","55%","46%","58%","61%","81%","正解は「55%」。標高差700mで撮影範囲が拡大。基準面（低標高）では重複度最大。相似比計算で約55%。","重複度は低標高で最大。標高差が大きいほど変化幅大。"
"R3-20","航空レーザ測量について、語句の組み合わせを選べ。","ラストパルス、6ヶ月、4","ラストパルス、6ヶ月、16","ラストパルス、1年、4","アザーパルス、6ヶ月、16","アザーパルス、1年、4","正解は「ラストパルス、6ヶ月、4」。a：ラストパルス必須（地表面検出）。b：ボアサイトキャリブレーション有効期間は「6ヶ月」。c：10km×10kmなら「4点」（4隅）が標準。","航空レーザはラストパルスで地表面検出。キャリブレーションは6ヶ月。"
"R3-21","電子地形図25000の内容について誤っているものを選べ。","阿武山の山頂の三角点（⑤）と郵便局の西側にある16.3mの水準点（⑦）の2地点を直線で結んだ傾斜角は、30°より大きい。","自然災害伝承碑の最長距離は約564m","郵便局の経緯度は東経132°29′59″、北緯34°29′2″","道路と鉄道が立体・平面交差している","山頂三角点と標高点の斜距離は700mより短い","正解は「傾斜角30°より大きい」。水平距離約1km、高低差約330m → 傾斜角＝arctan(330/1000)≈18°<30°。誤記。","傾斜角＝arctan(高低差/水平距離)。30°なら高低差≈577m。"
"R3-22","地図投影法について誤っているものの組み合わせを選べ。","ｃ，ｅ","ａ，ｂ","ａ，ｄ","ｂ，ｃ","ｄ，ｅ","正解は「ｃ，ｅ」。c：正角と正積を同時に満たす投影法は「理論上不可能」（誤記）。e：正距方位図法は「中心点からのみ」距離・方位が正確（任意点は誤り）。","正角と正積の両立不可。正距方位図法は中心点基準。"
"R3-23","ウェブ地図「地理院地図」について誤っているものを選べ。","ウェブ地図には、国土地理院刊行の1/25,000地形図と同様、ユニバーサル横メルカトル図法が採用されている。","複数の地図・写真を選択表示可能","モバイル端末で現在地表示可能","利用規約で複製・配布が制限される場合がある","高緯度でスケールバーが長くなる","正解は「UTM図法が採用」。地理院地図（標準）は「横メルカトル図法（平面直角座標系）」。UTMではない。","地理院地図は日本独自の横メルカトル。UTMは世界標準。"
"R3-24","基盤地図情報について誤っているものの組み合わせを選べ。","ａ，ｅ","ａ，ｂ","ｂ，ｄ","ｃ，ｄ","ｃ，ｅ","正解は「ａ，ｅ」。a：基盤地図情報の項目は「13項目」（6項目は誤り）。e：既存成果がある場合は「再利用推奨」（新規作成は誤り）。","基盤地図情報は13項目。更新時は既存成果を活用。"
"R3-25","三次元点群データを用いた路線測量について誤っているものを選べ。","密な樹木に覆われた山地に新規道路を建設する上で、横断測量の断面図作成を効率的に実施するため、無人航空機（UAV）を利用して撮影した写真から三次元点群データを新規で取得することとした。","横断面で精度不足ならTSで補備測量","他機関の測量成果を承認申請して使用","地上レーザで郊外の断面図作成","TINから横断面図作成","正解は「UAVで密な樹木下を測量」。UAV写真測量は「樹冠下の地形が取得不可」。航空レーザが必要。","UAV写真は樹木透過不可。森林下は航空レーザ測量。"
"R3-26","用地測量について誤っているものを選べ。","面積計算は、原則として倍横距法により行う。","境界確認は関係権利者に事前通知","復元杭設置に立会いは不要","現地と現状相違なら復元杭設置せず報告","境界点間測量は仮杭設置後に実施","正解は「倍横距法」。公共測量の面積計算は「座標法」が原則。倍横距法は誤り。","公共測量では面積計算は座標法が標準。"
"R3-27","境界線をAPに変更するとき、CP間の距離を求めよ（S1=55m, S2=36m, α=120°, β=135°）。","21.822 m","21.562 m","24.641 m","27.461 m","39.374 m","正解は「21.822 m」。面積不変条件から、三角形の面積を等分する線を計算。正弦定理・余弦定理でCP≈21.822m。","面積等分線は頂点から対辺へ。座標計算または三角法で解く。"
"R3-28","河川測量について誤っているものの組み合わせを選べ。","ｂ，ｄ","ａ，ｂ","ａ，ｃ","ｂ，ｃ","ｃ，ｄ","正解は「ｂ，ｄ」。b：水準基標測量は「1級レベル・標尺」が必要（2級は不可）。d：距離較差の許容範囲は「L/500」（L/300は誤り）。","河川測量基準：水準基標は1級機器。距離較差許容は1/500。"
